Algoritmo,P,Muestras,Tiempo_Prom(s),Tiempo_Dev,Ops_Prom,Ops_Dev,Calls_Prom,Calls_Dev
Formula_Math,6,20,9.4064993027132e-05,1.9414972071808742e-05,38.0,0.0,31.0,0.0
Memoizacion,6,20,3.424499736865982e-05,6.29678055532857e-06,4.0,0.0,15.0,0.0
Prog_Dinamica,6,20,9.267499699490145e-05,9.400900437943266e-06,14.0,0.0,21.0,0.0
Recursivo,6,20,2.8055001166649163e-05,5.191384172077777e-06,14.0,0.0,35.0,0.0
Formula_Math,10,20,0.00012053999962517992,1.6960849980465586e-05,71.0,0.0,60.0,0.0
Memoizacion,10,20,4.3744996946770695e-05,7.5105532214208155e-06,7.0,0.0,25.0,0.0
Prog_Dinamica,10,20,0.00012649499549297616,7.116423086355186e-06,31.0,0.0,42.0,0.0
Recursivo,10,20,5.0915000610984865e-05,4.248448160660748e-06,35.0,0.0,81.0,0.0
Formula_Math,15,20,0.00014129499904811383,4.2485751306966026e-05,121.0,0.0,105.0,0.0
Memoizacion,15,20,6.388999900082126e-05,1.0318135203529118e-05,11.0,0.0,38.0,0.0
Prog_Dinamica,15,20,0.00032253000244963914,0.00012070851509924842,60.0,0.0,76.0,0.0
Recursivo,15,20,0.00016683499852661044,4.412180364132262e-05,76.0,0.0,168.0,0.0
Formula_Math,20,20,0.00020824000093853102,4.3993633193008257e-05,132.0,0.0,115.0,0.0
Memoizacion,20,20,5.825999833177775e-05,1.1327552550872008e-05,12.0,0.0,41.0,0.0
Prog_Dinamica,20,20,0.00037029500235803426,7.28293402646346e-05,72.0,0.0,89.0,0.0
Recursivo,20,20,0.00010628000163706019,6.932213447932848e-06,95.0,0.0,207.0,0.0
Formula_Math,21,20,0.00021234000159893186,7.522006175670053e-05,192.0,0.0,170.0,0.0
Memoizacion,21,20,6.0849999135825784e-05,1.1125711740841437e-05,16.0,0.0,54.0,0.0
Prog_Dinamica,21,20,0.0004965749976690859,0.00013761818563274322,108.0,0.0,130.0,0.0
Recursivo,21,20,0.0002527449993067421,3.0431505901389168e-05,154.0,0.0,330.0,0.0
Formula_Math,28,20,0.00026717999717220666,5.3987363580408696e-05,235.0,0.0,210.0,0.0
Memoizacion,28,20,7.883499638410285e-05,6.187830462699866e-06,19.0,0.0,63.0,0.0
Prog_Dinamica,28,20,0.0007148400007281452,0.00011915176623135267,149.0,0.0,174.0,0.0
Recursivo,28,20,0.00034767499892041087,4.201095958667848e-05,242.0,0.0,509.0,0.0
Formula_Math,35,20,0.00029571499617304654,8.336730437140375e-05,205.0,0.0,182.0,0.0
Memoizacion,35,20,6.212999724084512e-05,8.599016425812537e-06,17.0,0.0,57.0,0.0
Prog_Dinamica,35,20,0.000507835001917556,7.376776411852991e-05,123.0,0.0,146.0,0.0
Recursivo,35,20,0.00032673999812686815,6.227005633099427e-05,188.0,0.0,399.0,0.0
Formula_Math,36,20,0.00048142000159714373,6.151741752667327e-05,337.0,0.0,305.0,0.0
Memoizacion,36,20,9.881499427137897e-05,8.894842147484516e-06,25.0,0.0,82.0,0.0
Prog_Dinamica,36,20,0.0010106300003826618,0.00022656693347692443,229.0,0.0,261.0,0.0
Recursivo,36,20,0.0009355350019177421,0.00011805715448026031,427.0,0.0,886.0,0.0
Formula_Math,45,20,0.0007891349974670448,0.00016662693623367713,392.0,0.0,357.0,0.0
