Algoritmo,Valor_P,Repeticion,Tiempo_Segundos,Ops_Basicas,Llamadas_Iteraciones,Memoria_Peak_Bytes,Resultado
Recursivo,6,1,4.949999856762588e-05,14,35,392,"(4, 2)"
Recursivo,6,2,2.880001557059586e-05,14,35,384,"(4, 2)"
Recursivo,6,3,2.750000567175448e-05,14,35,376,"(4, 2)"
Recursivo,6,4,2.6599998818710446e-05,14,35,368,"(4, 2)"
Recursivo,6,5,2.5699991965666413e-05,14,35,360,"(4, 2)"
Recursivo,6,6,2.609999501146376e-05,14,35,352,"(4, 2)"
Recursivo,6,7,2.680000034160912e-05,14,35,344,"(4, 2)"
Recursivo,6,8,2.6100024115294218e-05,14,35,328,"(4, 2)"
Recursivo,6,9,2.720000338740647e-05,14,35,320,"(4, 2)"
Recursivo,6,10,2.7600006433203816e-05,14,35,312,"(4, 2)"
Recursivo,6,11,2.5599991204217076e-05,14,35,304,"(4, 2)"
Recursivo,6,12,2.720000338740647e-05,14,35,296,"(4, 2)"
Recursivo,6,13,2.6300025638192892e-05,14,35,288,"(4, 2)"
Recursivo,6,14,2.6399997295811772e-05,14,35,280,"(4, 2)"
Recursivo,6,15,2.61999957729131e-05,14,35,272,"(4, 2)"
Recursivo,6,16,3.329999162815511e-05,14,35,256,"(4, 2)"
Recursivo,6,17,2.609999501146376e-05,14,35,248,"(4, 2)"
Recursivo,6,18,2.5299988919869065e-05,14,35,240,"(4, 2)"
Recursivo,6,19,2.6299996534362435e-05,14,35,232,"(4, 2)"
Recursivo,6,20,2.649999805726111e-05,14,35,224,"(4, 2)"
Recursivo,10,1,5.460000829771161e-05,35,81,216,"(5, 2)"
Recursivo,10,2,4.949999856762588e-05,35,81,208,"(5, 2)"
Recursivo,10,3,4.990000161342323e-05,35,81,200,"(5, 2)"
Recursivo,10,4,4.8699992476031184e-05,35,81,184,"(5, 2)"
Recursivo,10,5,4.7999987145885825e-05,35,81,176,"(5, 2)"
Recursivo,10,6,4.909999552182853e-05,35,81,176,"(5, 2)"
Recursivo,10,7,5.390000296756625e-05,35,81,176,"(5, 2)"
Recursivo,10,8,5.050000618211925e-05,35,81,176,"(5, 2)"
Recursivo,10,9,6.370001938194036e-05,35,81,176,"(5, 2)"
Recursivo,10,10,4.8900023102760315e-05,35,81,176,"(5, 2)"
Recursivo,10,11,4.990000161342323e-05,35,81,176,"(5, 2)"
Recursivo,10,12,4.959999932907522e-05,35,81,176,"(5, 2)"
Recursivo,10,13,4.889999399892986e-05,35,81,176,"(5, 2)"
Recursivo,10,14,4.7600013203918934e-05,35,81,176,"(5, 2)"
Recursivo,10,15,6.140000186860561e-05,35,81,176,"(5, 2)"
Recursivo,10,16,4.9299997044727206e-05,35,81,176,"(5, 2)"
Recursivo,10,17,4.8299989430233836e-05,35,81,176,"(5, 2)"
Recursivo,10,18,4.8999994760379195e-05,35,81,176,"(5, 2)"
Recursivo,10,19,4.939999780617654e-05,35,81,176,"(5, 2)"
Recursivo,10,20,4.809998790733516e-05,35,81,176,"(5, 2)"
Recursivo,15,1,9.970000246539712e-05,76,168,176,"(6, 2)"
Recursivo,15,2,0.00018780000391416252,76,168,176,"(6, 2)"
Recursivo,15,3,0.00019799999427050352,76,168,176,"(6, 2)"
Recursivo,15,4,0.00013559998478740454,76,168,176,"(6, 2)"
Recursivo,15,5,0.0001993000041693449,76,168,176,"(6, 2)"
Recursivo,15,6,8.139997953549027e-05,76,168,176,"(6, 2)"
Recursivo,15,7,0.00018030000501312315,76,168,176,"(6, 2)"
Recursivo,15,8,0.00019099999917671084,76,168,176,"(6, 2)"
Recursivo,15,9,0.00022350001381710172,76,168,176,"(6, 2)"
Recursivo,15,10,8.529998012818396e-05,76,168,176,"(6, 2)"
Recursivo,15,11,0.00020599999697878957,76,168,176,"(6, 2)"
Recursivo,15,12,0.00019160000374540687,76,168,176,"(6, 2)"
Recursivo,15,13,0.00016880000475794077,76,168,176,"(6, 2)"
Recursivo,15,14,0.0001812000118661672,76,168,176,"(6, 2)"
Recursivo,15,15,0.00014969997573643923,76,168,176,"(6, 2)"
Recursivo,15,16,0.00020939999376423657,76,168,176,"(6, 2)"
Recursivo,15,17,0.0001967000134754926,76,168,176,"(6, 2)"
Recursivo,15,18,0.00017449998995289207,76,168,176,"(6, 2)"
Recursivo,15,19,0.00019339998834766448,76,168,176,"(6, 2)"
Recursivo,15,20,8.350002462975681e-05,76,168,176,"(6, 2)"
Recursivo,20,1,0.00010289999772794545,95,207,176,"(6, 3)"
Recursivo,20,2,0.00010299999848939478,95,207,176,"(6, 3)"
Recursivo,20,3,0.00010850001126527786,95,207,176,"(6, 3)"
Recursivo,20,4,0.00010979999206028879,95,207,176,"(6, 3)"
Recursivo,20,5,0.00010220002150163054,95,207,176,"(6, 3)"
Recursivo,20,6,0.00010809997911565006,95,207,176,"(6, 3)"
Recursivo,20,7,9.790001786313951e-05,95,207,176,"(6, 3)"
Recursivo,20,8,0.0001188000023830682,95,207,176,"(6, 3)"
Recursivo,20,9,0.00011399999493733048,95,207,176,"(6, 3)"
Recursivo,20,10,0.00011950000771321356,95,207,176,"(6, 3)"
Recursivo,20,11,0.00010959999053739011,95,207,176,"(6, 3)"
Recursivo,20,12,0.0001024999946821481,95,207,176,"(6, 3)"
Recursivo,20,13,0.00010130001464858651,95,207,176,"(6, 3)"
Recursivo,20,14,0.00011850000009872019,95,207,176,"(6, 3)"
Recursivo,20,15,9.90999978967011e-05,95,207,176,"(6, 3)"
Recursivo,20,16,0.00010309999925084412,95,207,176,"(6, 3)"
Recursivo,20,17,0.0001086000120267272,95,207,176,"(6, 3)"
Recursivo,20,18,9.479999425821006e-05,95,207,176,"(6, 3)"
Recursivo,20,19,0.00010190001921728253,95,207,176,"(6, 3)"
Recursivo,20,20,0.00010149998706765473,95,207,176,"(6, 3)"
Recursivo,21,1,0.0002778999914880842,154,330,208,"(7, 2)"
Recursivo,21,2,0.00026390000130049884,154,330,208,"(7, 2)"
Recursivo,21,3,0.0002615000121295452,154,330,208,"(7, 2)"
Recursivo,21,4,0.00026489997981116176,154,330,208,"(7, 2)"
Recursivo,21,5,0.00027660001069307327,154,330,208,"(7, 2)"
Recursivo,21,6,0.0002597000275272876,154,330,208,"(7, 2)"
Recursivo,21,7,0.0002657999866642058,154,330,208,"(7, 2)"
Recursivo,21,8,0.00026959998649545014,154,330,208,"(7, 2)"
Recursivo,21,9,0.00026259999140165746,154,330,208,"(7, 2)"
Recursivo,21,10,0.0002677000011317432,154,330,208,"(7, 2)"
Recursivo,21,11,0.00027879999834112823,154,330,208,"(7, 2)"
Recursivo,21,12,0.00025680000544525683,154,330,208,"(7, 2)"
Recursivo,21,13,0.0002552000223658979,154,330,208,"(7, 2)"
Recursivo,21,14,0.00028639999800361693,154,330,208,"(7, 2)"
Recursivo,21,15,0.00025690000620670617,154,330,208,"(7, 2)"
Recursivo,21,16,0.0002503999858163297,154,330,208,"(7, 2)"
Recursivo,21,17,0.00024850000045262277,154,330,208,"(7, 2)"
Recursivo,21,18,0.00017830001888796687,154,330,208,"(7, 2)"
Recursivo,21,19,0.00018849998014047742,154,330,208,"(7, 2)"
Recursivo,21,20,0.00018489998183213174,154,330,208,"(7, 2)"
Recursivo,28,1,0.00042810000013560057,242,509,208,"(8, 2)"
Recursivo,28,2,0.0004233999934513122,242,509,208,"(8, 2)"
Recursivo,28,3,0.0004808999947272241,242,509,208,"(8, 2)"
Recursivo,28,4,0.00033439998514950275,242,509,208,"(8, 2)"
Recursivo,28,5,0.00033179999445565045,242,509,208,"(8, 2)"
Recursivo,28,6,0.0003368999750819057,242,509,208,"(8, 2)"
Recursivo,28,7,0.00032839999767020345,242,509,208,"(8, 2)"
Recursivo,28,8,0.0003291000030003488,242,509,208,"(8, 2)"
Recursivo,28,9,0.00033170002279803157,242,509,208,"(8, 2)"
Recursivo,28,10,0.00033680000342428684,242,509,208,"(8, 2)"
Recursivo,28,11,0.00032690001535229385,242,509,208,"(8, 2)"
Recursivo,28,12,0.00032469999860040843,242,509,208,"(8, 2)"
Recursivo,28,13,0.00033290000283159316,242,509,208,"(8, 2)"
Recursivo,28,14,0.0003316999936942011,242,509,208,"(8, 2)"
Recursivo,28,15,0.0003308999876026064,242,509,208,"(8, 2)"
